provider,prompt_id,manifest_path,run_dir,first_iteration_path,antlr_ok,syside_ok,paired_label,antlr_exit_code,syside_exit_code,resolve_error,antlr_output,syside_output
Generated_from_Prompts_API_LOOP_ANTHROPIC,1,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/1/1_refine_manifest.json,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/1/refine_runs/20260220-091315,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/1/refine_runs/20260220-091315/iteration_01.sysml,True,True,both_pass,0,0,,ANTLR_PARSE_PASS[hamr_full] /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/1/refine_runs/20260220-091315/iteration_01.sysml,"Checks passed!
SYSIDE_COMPILE_PASS /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/1/refine_runs/20260220-091315/iteration_01.sysml

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/1/refine_runs/20260220-091315/iteration_01.sysml:49:14: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'vehicles' shadows VehicleManagementSystem::Fleet::vehicles
│   49 |         part vehicles : Vehicle[*] {
│      |              [38;2;204;204;057m^^^^^^^^[0m
└── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/1/refine_runs/20260220-091315/iteration_01.sysml:45:14: [38;2;255;255;255mnote[0m: Inherited from here
    └── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/1/refine_runs/20260220-091315/iteration_01.sysml:48:25: [38;2;255;255;255mnote[0m: Because VehicleManagementSystem::Fleet is specialized through FeatureTyping

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_lo"
Generated_from_Prompts_API_LOOP_ANTHROPIC,2,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/2/2_refine_manifest.json,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/2/refine_runs/20260220-091315,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/2/refine_runs/20260220-091315/iteration_01.sysml,True,True,both_pass,0,0,,ANTLR_PARSE_PASS[hamr_full] /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/2/refine_runs/20260220-091315/iteration_01.sysml,"Checks passed!
SYSIDE_COMPILE_PASS /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/2/refine_runs/20260220-091315/iteration_01.sysml

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/2/refine_runs/20260220-091315/iteration_01.sysml:20:14: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'driver' shadows VehicleSystem::ManuallyOperatedVehicle::driver
│   20 |         part driver : Personnel[1];
│      |              [38;2;204;204;057m^^^^^^[0m
└── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/2/refine_runs/20260220-091315/iteration_01.sysml:10:14: [38;2;255;255;255mnote[0m: Inherited from here
    └── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/2/refine_runs/20260220-091315/iteration_01.sysml:19:36: [38;2;255;255;255mnote[0m: Because VehicleSystem::ManuallyOperatedVehicle is specialized through FeatureTyping

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Lo"
Generated_from_Prompts_API_LOOP_ANTHROPIC,3,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/3/3_refine_manifest.json,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/3/refine_runs/20260220-091315,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/3/refine_runs/20260220-091315/iteration_01.sysml,True,True,both_pass,0,0,,ANTLR_PARSE_PASS[hamr_full] /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/3/refine_runs/20260220-091315/iteration_01.sysml,"Checks passed!
SYSIDE_COMPILE_PASS /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/3/refine_runs/20260220-091315/iteration_01.sysml

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/3/refine_runs/20260220-091315/iteration_01.sysml:69:19: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'vehicleId' shadows VehicleStructure::Vehicle::vehicleId
│   69 |         attribute vehicleId = ""V001"";
│      |                   [38;2;204;204;057m^^^^^^^^^[0m
└── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/3/refine_runs/20260220-091315/iteration_01.sysml:31:19: [38;2;255;255;255mnote[0m: Inherited from here
    ├── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/3/refine_runs/20260220-091315/iteration_01.sysml:40:33: [38;2;255;255;255mnote[0m: Because VehicleStructure::Vehicle is specialized through Subclassification
    └── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_L"
Generated_from_Prompts_API_LOOP_ANTHROPIC,4,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/4/4_refine_manifest.json,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/4/refine_runs/20260220-091315,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/4/refine_runs/20260220-091315/iteration_01.sysml,True,True,both_pass,0,0,,ANTLR_PARSE_PASS[hamr_full] /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/4/refine_runs/20260220-091315/iteration_01.sysml,"Checks passed!
SYSIDE_COMPILE_PASS /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/4/refine_runs/20260220-091315/iteration_01.sysml

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/4/refine_runs/20260220-091315/iteration_01.sysml:36:14: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'engine' shadows VehicleSystem::SmallVehicle::engine
│   36 |         part engine : SmallEngine;
│      |              [38;2;204;204;057m^^^^^^[0m
└── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/4/refine_runs/20260220-091315/iteration_01.sysml:28:14: [38;2;255;255;255mnote[0m: Inherited from here
    └── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/4/refine_runs/20260220-091315/iteration_01.sysml:35:33: [38;2;255;255;255mnote[0m: Because VehicleSystem::SmallVehicle is specialized through FeatureTyping

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_f"
Generated_from_Prompts_API_LOOP_ANTHROPIC,5,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/5/5_refine_manifest.json,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/5/refine_runs/20260220-091320,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/5/refine_runs/20260220-091320/iteration_01.sysml,True,True,both_pass,0,0,,ANTLR_PARSE_PASS[hamr_full] /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/5/refine_runs/20260220-091320/iteration_01.sysml,"Checks passed!
SYSIDE_COMPILE_PASS /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/5/refine_runs/20260220-091320/iteration_01.sysml"
Generated_from_Prompts_API_LOOP_ANTHROPIC,6,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/6/6_refine_manifest.json,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/6/refine_runs/20260220-091320,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/6/refine_runs/20260220-091320/iteration_01.sysml,True,True,both_pass,0,0,,ANTLR_PARSE_PASS[hamr_full] /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/6/refine_runs/20260220-091320/iteration_01.sysml,"Checks passed!
SYSIDE_COMPILE_PASS /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/6/refine_runs/20260220-091320/iteration_01.sysml

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/6/refine_runs/20260220-091320/iteration_01.sysml:46:23: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'level' shadows TrafficLightClassification::ClassificationEntry::level
│   46 |             attribute level : ClassificationLevel = ClassificationLevel::UNCLASSIFIED;
│      |                       [38;2;204;204;057m^^^^^[0m
└── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/6/refine_runs/20260220-091320/iteration_01.sysml:19:19: [38;2;255;255;255mnote[0m: Inherited from here
    └── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/6/refine_runs/20260220-091320/iteration_01.sysml:45:34: [38;2;255;255;255mnote[0m: Because TrafficLightClassification::ClassificationEntry is specialized through Feat"
Generated_from_Prompts_API_LOOP_ANTHROPIC,7,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/7/7_refine_manifest.json,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/7/refine_runs/20260220-091322,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/7/refine_runs/20260220-091322/iteration_01.sysml,True,True,both_pass,0,0,,ANTLR_PARSE_PASS[hamr_full] /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/7/refine_runs/20260220-091322/iteration_01.sysml,"Checks passed!
SYSIDE_COMPILE_PASS /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/7/refine_runs/20260220-091322/iteration_01.sysml"
Generated_from_Prompts_API_LOOP_ANTHROPIC,8,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/8/8_refine_manifest.json,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/8/refine_runs/20260220-091325,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/8/refine_runs/20260220-091325/iteration_01.sysml,True,True,both_pass,0,0,,ANTLR_PARSE_PASS[hamr_full] /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/8/refine_runs/20260220-091325/iteration_01.sysml,"Checks passed!
SYSIDE_COMPILE_PASS /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/8/refine_runs/20260220-091325/iteration_01.sysml

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/8/refine_runs/20260220-091325/iteration_01.sysml:44:23: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'make' shadows VehicleSystem::Vehicle::make
│   44 |             attribute make = ""Toyota"";
│      |                       [38;2;204;204;057m^^^^[0m
└── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/8/refine_runs/20260220-091325/iteration_01.sysml:33:19: [38;2;255;255;255mnote[0m: Inherited from here
    └── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/8/refine_runs/20260220-091325/iteration_01.sysml:43:20: [38;2;255;255;255mnote[0m: Because VehicleSystem::Vehicle is specialized through FeatureTyping

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from"
Generated_from_Prompts_API_LOOP_ANTHROPIC,9,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/9/9_refine_manifest.json,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/9/refine_runs/20260220-091325,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/9/refine_runs/20260220-091325/iteration_01.sysml,True,True,both_pass,0,0,,ANTLR_PARSE_PASS[hamr_full] /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/9/refine_runs/20260220-091325/iteration_01.sysml,"Checks passed!
SYSIDE_COMPILE_PASS /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/9/refine_runs/20260220-091325/iteration_01.sysml

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/9/refine_runs/20260220-091325/iteration_01.sysml:57:23: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'description' shadows WheelAssembly::WheelBearingUnit::description
│   57 |             attribute description : String = ""Supports wheel rotation"";
│      |                       [38;2;204;204;057m^^^^^^^^^^^[0m
└── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/9/refine_runs/20260220-091325/iteration_01.sysml:11:19: [38;2;255;255;255mnote[0m: Inherited from here
    └── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/9/refine_runs/20260220-091325/iteration_01.sysml:56:24: [38;2;255;255;255mnote[0m: Because WheelAssembly::WheelBearingUnit is specialized through FeatureTyping

/Users/chancelavoi"
Generated_from_Prompts_API_LOOP_ANTHROPIC,10,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/10/10_refine_manifest.json,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/10/refine_runs/20260220-091328,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/10/refine_runs/20260220-091328/iteration_01.sysml,True,True,both_pass,0,0,,ANTLR_PARSE_PASS[hamr_full] /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/10/refine_runs/20260220-091328/iteration_01.sysml,"Checks passed!
SYSIDE_COMPILE_PASS /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/10/refine_runs/20260220-091328/iteration_01.sysml

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/10/refine_runs/20260220-091328/iteration_01.sysml:59:23: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'tankCapacity' shadows FuelFlowManagement::FuelTankAssembly::tankCapacity
│   59 |             attribute tankCapacity : Real = 500.0;
│      |                       [38;2;204;204;057m^^^^^^^^^^^^[0m
└── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/10/refine_runs/20260220-091328/iteration_01.sysml:37:19: [38;2;255;255;255mnote[0m: Inherited from here
    └── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/10/refine_runs/20260220-091328/iteration_01.sysml:58:25: [38;2;255;255;255mnote[0m: Because FuelFlowManagement::FuelTankAssembly is specialized through FeatureTyping

/Users/chancelavoie/De"
