provider,prompt_id,file,antlr_ok,syside_ok,both_ok,antlr_output,syside_output
Generated_from_Prompts_API_LOOP_ANTHROPIC,1,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/1/1.sysml,True,True,True,ANTLR_PARSE_PASS[hamr_full] api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/1/1.sysml,"Checks passed!
SYSIDE_COMPILE_PASS api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/1/1.sysml

api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/1/1.sysml:49:14: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'vehicles' shadows VehicleManagementSystem::Fleet::vehicles
│   49 |         part vehicles : Vehicle[*] {
│      |              [38;2;204;204;057m^^^^^^^^[0m
└── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/1/1.sysml:45:14: [38;2;255;255;255mnote[0m: Inherited from here
    └── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/1/1.sysml:48:25: [38;2;255;255;255mnote[0m: Because VehicleManagementSystem::Fleet is specialized through FeatureTyping

api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/1/1.sysml:50:18: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'currentStatus' shadows VehicleManagementSystem::Vehicle::currentStatus
│   50 |             part currentStatus : VehicleStatus {
│      |                  [38;2;204;204;057m^^^^^^^^^^^^^[0m
└── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/1/1.sysml:39:14: [38;2;255;255;255mnote[0m: Inherited from here
    └── api_loop/Generated_from_Prompts_"
Generated_from_Prompts_API_LOOP_ANTHROPIC,2,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/2/2.sysml,True,True,True,ANTLR_PARSE_PASS[hamr_full] api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/2/2.sysml,"Checks passed!
SYSIDE_COMPILE_PASS api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/2/2.sysml

api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/2/2.sysml:20:14: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'driver' shadows VehicleSystem::ManuallyOperatedVehicle::driver
│   20 |         part driver : Personnel[1];
│      |              [38;2;204;204;057m^^^^^^[0m
└── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/2/2.sysml:10:14: [38;2;255;255;255mnote[0m: Inherited from here
    └── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/2/2.sysml:19:36: [38;2;255;255;255mnote[0m: Because VehicleSystem::ManuallyOperatedVehicle is specialized through FeatureTyping

api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/2/2.sysml:24:14: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'engine' shadows VehicleSystem::PoweredVehicle::engine
│   24 |         part engine : Engine[1];
│      |              [38;2;204;204;057m^^^^^^[0m
└── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/2/2.sysml:14:14: [38;2;255;255;255mnote[0m: Inherited from here
    └── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/2/2.sysml:23:27:"
Generated_from_Prompts_API_LOOP_ANTHROPIC,3,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/3/3.sysml,True,True,True,ANTLR_PARSE_PASS[hamr_full] api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/3/3.sysml,"Checks passed!
SYSIDE_COMPILE_PASS api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/3/3.sysml

api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/3/3.sysml:69:19: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'vehicleId' shadows VehicleStructure::Vehicle::vehicleId
│   69 |         attribute vehicleId = ""V001"";
│      |                   [38;2;204;204;057m^^^^^^^^^[0m
└── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/3/3.sysml:31:19: [38;2;255;255;255mnote[0m: Inherited from here
    ├── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/3/3.sysml:40:33: [38;2;255;255;255mnote[0m: Because VehicleStructure::Vehicle is specialized through Subclassification
    └── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/3/3.sysml:68:22: [38;2;255;255;255mnote[0m: Because VehicleStructure::StandardVehicle is specialized through FeatureTyping

api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/3/3.sysml:70:19: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'vehicleName' shadows VehicleStructure::Vehicle::vehicleName
│   70 |         attribute vehicleName = ""Sedan"";
│      |                   [38;2;204;204;057m^^^^^^^^^^"
Generated_from_Prompts_API_LOOP_ANTHROPIC,4,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/4/4.sysml,True,True,True,ANTLR_PARSE_PASS[hamr_full] api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/4/4.sysml,"Checks passed!
SYSIDE_COMPILE_PASS api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/4/4.sysml

api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/4/4.sysml:36:14: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'engine' shadows VehicleSystem::SmallVehicle::engine
│   36 |         part engine : SmallEngine;
│      |              [38;2;204;204;057m^^^^^^[0m
└── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/4/4.sysml:28:14: [38;2;255;255;255mnote[0m: Inherited from here
    └── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/4/4.sysml:35:33: [38;2;255;255;255mnote[0m: Because VehicleSystem::SmallVehicle is specialized through FeatureTyping

api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/4/4.sysml:40:14: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'engine' shadows VehicleSystem::LargeVehicle::engine
│   40 |         part engine : LargeEngine;
│      |              [38;2;204;204;057m^^^^^^[0m
└── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/4/4.sysml:32:14: [38;2;255;255;255mnote[0m: Inherited from here
    └── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/4/4.sysml:39:33: [38;2;255;255;255mnot"
Generated_from_Prompts_API_LOOP_ANTHROPIC,5,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/5/5.sysml,True,True,True,ANTLR_PARSE_PASS[hamr_full] api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/5/5.sysml,"Checks passed!
SYSIDE_COMPILE_PASS api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/5/5.sysml"
Generated_from_Prompts_API_LOOP_ANTHROPIC,6,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/6/6.sysml,True,True,True,ANTLR_PARSE_PASS[hamr_full] api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/6/6.sysml,"Checks passed!
SYSIDE_COMPILE_PASS api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/6/6.sysml

api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/6/6.sysml:46:23: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'level' shadows TrafficLightClassification::ClassificationEntry::level
│   46 |             attribute level : ClassificationLevel = ClassificationLevel::UNCLASSIFIED;
│      |                       [38;2;204;204;057m^^^^^[0m
└── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/6/6.sysml:19:19: [38;2;255;255;255mnote[0m: Inherited from here
    └── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/6/6.sysml:45:34: [38;2;255;255;255mnote[0m: Because TrafficLightClassification::ClassificationEntry is specialized through FeatureTyping

api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/6/6.sysml:47:23: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'code' shadows TrafficLightClassification::ClassificationEntry::code
│   47 |             attribute code : String = ""uncl"";
│      |                       [38;2;204;204;057m^^^^[0m
└── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/6/6.sysml:20:19: [38;2;255;255;"
Generated_from_Prompts_API_LOOP_ANTHROPIC,7,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/7/7.sysml,True,True,True,ANTLR_PARSE_PASS[hamr_full] api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/7/7.sysml,"Checks passed!
SYSIDE_COMPILE_PASS api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/7/7.sysml"
Generated_from_Prompts_API_LOOP_ANTHROPIC,8,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/8/8.sysml,True,True,True,ANTLR_PARSE_PASS[hamr_full] api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/8/8.sysml,"Checks passed!
SYSIDE_COMPILE_PASS api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/8/8.sysml

api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/8/8.sysml:44:23: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'make' shadows VehicleSystem::Vehicle::make
│   44 |             attribute make = ""Toyota"";
│      |                       [38;2;204;204;057m^^^^[0m
└── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/8/8.sysml:33:19: [38;2;255;255;255mnote[0m: Inherited from here
    └── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/8/8.sysml:43:20: [38;2;255;255;255mnote[0m: Because VehicleSystem::Vehicle is specialized through FeatureTyping

api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/8/8.sysml:45:23: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'model' shadows VehicleSystem::Vehicle::model
│   45 |             attribute model = ""Camry"";
│      |                       [38;2;204;204;057m^^^^^[0m
└── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/8/8.sysml:34:19: [38;2;255;255;255mnote[0m: Inherited from here
    └── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/8/8.sysml:43:20: [38;2;255;255;255mn"
Generated_from_Prompts_API_LOOP_ANTHROPIC,9,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/9/9.sysml,True,True,True,ANTLR_PARSE_PASS[hamr_full] api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/9/9.sysml,"Checks passed!
SYSIDE_COMPILE_PASS api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/9/9.sysml

api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/9/9.sysml:57:23: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'description' shadows WheelAssembly::WheelBearingUnit::description
│   57 |             attribute description : String = ""Supports wheel rotation"";
│      |                       [38;2;204;204;057m^^^^^^^^^^^[0m
└── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/9/9.sysml:11:19: [38;2;255;255;255mnote[0m: Inherited from here
    └── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/9/9.sysml:56:24: [38;2;255;255;255mnote[0m: Because WheelAssembly::WheelBearingUnit is specialized through FeatureTyping

api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/9/9.sysml:63:23: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'sealed' shadows WheelAssembly::Tire::sealed
│   63 |             attribute sealed : Boolean = true;
│      |                       [38;2;204;204;057m^^^^^^[0m
└── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/9/9.sysml:23:19: [38;2;255;255;255mnote[0m: Inherited from here
    └── api_loop"
Generated_from_Prompts_API_LOOP_ANTHROPIC,10,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/10/10.sysml,True,True,True,ANTLR_PARSE_PASS[hamr_full] api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/10/10.sysml,"Checks passed!
SYSIDE_COMPILE_PASS api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/10/10.sysml

api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/10/10.sysml:59:23: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'tankCapacity' shadows FuelFlowManagement::FuelTankAssembly::tankCapacity
│   59 |             attribute tankCapacity : Real = 500.0;
│      |                       [38;2;204;204;057m^^^^^^^^^^^^[0m
└── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/10/10.sysml:37:19: [38;2;255;255;255mnote[0m: Inherited from here
    └── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/10/10.sysml:58:25: [38;2;255;255;255mnote[0m: Because FuelFlowManagement::FuelTankAssembly is specialized through FeatureTyping

api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/10/10.sysml:60:23: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'currentFuelLevel' shadows FuelFlowManagement::FuelTankAssembly::currentFuelLevel
│   60 |             attribute currentFuelLevel : Real = 400.0;
│      |                       [38;2;204;204;057m^^^^^^^^^^^^^^^^[0m
└── api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/10/10.sysml:38:19: [38;2"
